Time [s],Sig [V]
-4.5998280E-02,4.3549179E+00
-4.5993600E-02,4.3555283E+00
-4.5988920E-02,4.3549942E+00
-4.5984240E-02,4.3546127E+00
-4.5979560E-02,4.3549179E+00
-4.5974880E-02,4.3544601E+00
-4.5970200E-02,4.3556046E+00
-4.5965520E-02,4.3543076E+00
-4.5960840E-02,4.3546890E+00
-4.5956160E-02,4.3547653E+00
-4.5951480E-02,4.3558334E+00
-4.5946800E-02,4.3559097E+00
-4.5942120E-02,4.3556808E+00
-4.5937440E-02,4.3552994E+00
-4.5932760E-02,4.3552231E+00
-4.5928080E-02,4.3557571E+00
-4.5923400E-02,4.3554520E+00
-4.5918720E-02,4.3559097E+00
-4.5914040E-02,4.3568253E+00
-4.5909360E-02,4.3567490E+00
-4.5904680E-02,4.3567490E+00
-4.5900000E-02,4.3563675E+00
-4.5895320E-02,4.3562912E+00
-4.5890640E-02,4.3566727E+00
-4.5885960E-02,4.3562149E+00
-4.5881280E-02,4.3565201E+00
-4.5876600E-02,4.3562912E+00
-4.5871920E-02,4.3561386E+00
-4.5867240E-02,4.3557571E+00
-4.5862560E-02,4.3563675E+00
-4.5857880E-02,4.3562149E+00
-4.5853200E-02,4.3556808E+00
-4.5848520E-02,4.3561386E+00
-4.5843840E-02,4.3571304E+00
-4.5839160E-02,4.3567490E+00
-4.5834480E-02,4.3570541E+00
-4.5829800E-02,4.3574356E+00
-4.5825120E-02,4.3572830E+00
-4.5820440E-02,4.3563675E+00
-4.5815760E-02,4.3562912E+00
-4.5811080E-02,4.3565964E+00
-4.5806400E-02,4.3569016E+00
-4.5801720E-02,4.3572830E+00
-4.5797040E-02,4.3566727E+00
-4.5792360E-02,4.3565964E+00
-4.5787680E-02,4.3578934E+00
-4.5783000E-02,4.3572830E+00
-4.5778320E-02,4.3572067E+00
-4.5773640E-02,4.3568253E+00
-4.5768960E-02,4.3572067E+00
-4.5764280E-02,4.3571304E+00
-4.5759600E-02,4.3571304E+00
-4.5754920E-02,4.3572067E+00
-4.5750240E-02,4.3575882E+00
-4.5745560E-02,4.3572830E+00
-4.5740880E-02,4.3576645E+00
-4.5736200E-02,4.3575882E+00
-4.5731520E-02,4.3571304E+00
-4.5726840E-02,4.3577408E+00
-4.5722160E-02,4.3572067E+00
-4.5717480E-02,4.3577408E+00
-4.5712800E-02,4.3572830E+00
-4.5708120E-02,4.3566727E+00
-4.5703440E-02,4.3565201E+00
-4.5698760E-02,4.3570541E+00
-4.5694080E-02,4.3572830E+00
-4.5689400E-02,4.3586563E+00
-4.5684720E-02,4.3577408E+00
-4.5680040E-02,4.3584274E+00
-4.5675360E-02,4.3582748E+00
-4.5670680E-02,4.3579697E+00
-4.5666000E-02,4.3591904E+00
-4.5661320E-02,4.3582748E+00
-4.5656640E-02,4.3591904E+00
-4.5651960E-02,4.3585800E+00
-4.5647280E-02,4.3597244E+00
-4.5642600E-02,4.3582748E+00
-4.5637920E-02,4.3585800E+00
-4.5633240E-02,4.3582748E+00
-4.5628560E-02,4.3588089E+00
-4.5623880E-02,4.3583511E+00
-4.5619200E-02,4.3582748E+00
-4.5614520E-02,4.3578934E+00
-4.5609840E-02,4.3581223E+00
-4.5605160E-02,4.3581985E+00
-4.5600480E-02,4.3585800E+00
-4.5595800E-02,4.3584274E+00
-4.5591120E-02,4.3590378E+00
-4.5586440E-02,4.3593430E+00
-4.5581760E-02,4.3586563E+00
-4.5577080E-02,4.3601059E+00
-4.5572400E-02,4.3598770E+00
-4.5567720E-02,4.3599533E+00
-4.5563040E-02,4.3598007E+00
-4.5558360E-02,4.3590378E+00
-4.5553680E-02,4.3598770E+00
-4.5549000E-02,4.3605637E+00
-4.5544320E-02,4.3600296E+00
-4.5539640E-02,4.3598770E+00
-4.5534960E-02,4.3585037E+00
-4.5530280E-02,4.3592667E+00
-4.5525600E-02,4.3590378E+00
-4.5520920E-02,4.3604874E+00
-4.5516240E-02,4.3589615E+00
-4.5511560E-02,4.3604111E+00
-4.5506880E-02,4.3598770E+00
-4.5502200E-02,4.3596481E+00
-4.5497520E-02,4.3600296E+00
-4.5492840E-02,4.3595718E+00
-4.5488160E-02,4.3597244E+00
-4.5483480E-02,4.3601822E+00
-4.5478800E-02,4.3604874E+00
-4.5474120E-02,4.3602585E+00
-4.5469440E-02,4.3597244E+00
-4.5464760E-02,4.3601822E+00
-4.5460080E-02,4.3605637E+00
-4.5455400E-02,4.3609451E+00
-4.5450720E-02,4.3601822E+00
-4.5446040E-02,4.3598007E+00
-4.5441360E-02,4.3606400E+00
-4.5436680E-02,4.3604874E+00
-4.5432000E-02,4.3601822E+00
-4.5427320E-02,4.3607925E+00
-4.5422640E-02,4.3609451E+00
-4.5417960E-02,4.3617081E+00
-4.5413280E-02,4.3610214E+00
-4.5408600E-02,4.3618607E+00
-4.5403920E-02,4.3610977E+00
-4.5399240E-02,4.3618607E+00
-4.5394560E-02,4.3612503E+00
-4.5389880E-02,4.3614792E+00
-4.5385200E-02,4.3619370E+00
-4.5380520E-02,4.3610977E+00
-4.5375840E-02,4.3615555E+00
-4.5371160E-02,4.3614792E+00
-4.5366480E-02,4.3616318E+00
-4.5361800E-02,4.3616318E+00
-4.5357120E-02,4.3620132E+00
-4.5352440E-02,4.3609451E+00
-4.5347760E-02,4.3610977E+00
-4.5343080E-02,4.3613266E+00
-4.5338400E-02,4.3626236E+00
-4.5333720E-02,4.3615555E+00
-4.5329040E-02,4.3617081E+00
-4.5324360E-02,4.3617081E+00
-4.5319680E-02,4.3612503E+00
-4.5315000E-02,4.3613266E+00
-4.5310320E-02,4.3614029E+00
-4.5305640E-02,4.3614792E+00
-4.5300960E-02,4.3616318E+00
-4.5296280E-02,4.3620132E+00
-4.5291600E-02,4.3622421E+00
-4.5286920E-02,4.3614792E+00
-4.5282240E-02,4.3620132E+00
-4.5277560E-02,4.3619370E+00
-4.5272880E-02,4.3616318E+00
-4.5268200E-02,4.3611740E+00
-4.5263520E-02,4.3614029E+00
-4.5258840E-02,4.3617844E+00
-4.5254160E-02,4.3614792E+00
-4.5249480E-02,4.3619370E+00
-4.5244800E-02,4.3620132E+00
-4.5240120E-02,4.3620895E+00
-4.5235440E-02,4.3630051E+00
-4.5230760E-02,4.3628525E+00
-4.5226080E-02,4.3620895E+00
-4.5221400E-02,4.3626236E+00
-4.5216720E-02,4.3620895E+00
-4.5212040E-02,4.3630814E+00
-4.5207360E-02,4.3625473E+00
-4.5202680E-02,4.3631577E+00
-4.5198000E-02,4.3623184E+00
-4.5193320E-02,4.3626236E+00
-4.5188640E-02,4.3624710E+00
-4.5183960E-02,4.3632339E+00
-4.5179280E-02,4.3631577E+00
-4.5174600E-02,4.3634628E+00
-4.5169920E-02,4.3636917E+00
-4.5165240E-02,4.3649887E+00
-4.5160560E-02,4.3643784E+00
-4.5155880E-02,4.3636917E+00
-4.5151200E-02,4.3639969E+00
-4.5146520E-02,4.3642258E+00
-4.5141840E-02,4.3643784E+00
-4.5137160E-02,4.3638443E+00
-4.5132480E-02,4.3636917E+00
